fid,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
107,DIM,,AcDbEntity:AcDbLine,Continuous,"133",
108,DIM,,AcDbEntity:AcDbLine,Continuous,"134",
109,DIM,,AcDbEntity:AcDbLine,Continuous,"135",
110,DIM,,AcDbEntity:AcDbLine,Continuous,"136",
111,DIM,,AcDbEntity:AcDbLine,Continuous,"137",
112,DIM,,AcDbEntity:AcDbLine,Continuous,"138",
113,DIM,,AcDbEntity:AcDbLine,Continuous,"139",
114,DIM,,AcDbEntity:AcDbLine,Continuous,13A,
115,DIM,,AcDbEntity:AcDbLine,Continuous,13B,
116,DIM,,AcDbEntity:AcDbLine,Continuous,13C,
117,DIM,,AcDbEntity:AcDbLine,Continuous,13D,
118,DIM,,AcDbEntity:AcDbLine,Continuous,13E,
119,DIM,,AcDbEntity:AcDbLine,Continuous,13F,
120,"0",,AcDbEntity:AcDbLine,ByBlock,"140",
121,"0",,AcDbEntity:AcDbLine,ByBlock,"141",
122,"0",,AcDbEntity:AcDbLine,ByBlock,"142",
123,"0",,AcDbEntity:AcDbLine,ByBlock,"143",
124,"0",,AcDbEntity:AcDbLine,ByBlock,"144",
125,"0",,AcDbEntity:AcDbLine,ByBlock,"145",
126,BOR,,AcDbEntity:AcDbLeader,Continuous,"170",
127,BOR,,AcDbEntity:AcDbLine,ACAD_ISO14W100,"171",
128,"0",,AcDbEntity:AcDbLine,ByBlock,"180",
129,"0",,AcDbEntity:AcDbPolyline,,"181",
130,"0",,AcDbEntity:AcDbPolyline,,"182",
131,"0",,AcDbEntity:AcDbPolyline,,"183",
132,"0",,AcDbEntity:AcDbPolyline,,"186",
133,"0",,AcDbEntity:AcDbPolyline,,18A,
134,"0",,AcDbEntity:AcDbPolyline,,18C,
135,"0",,AcDbEntity:AcDbPolyline,,18D,
136,"0",,AcDbEntity:AcDbPolyline,,18F,
137,"0",,AcDbEntity:AcDbPolyline,,"190",
138,"0",,AcDbEntity:AcDbPolyline,,1AA,
139,BOR,,AcDbEntity:AcDbLeader,Continuous,2EF,
140,BOR,,AcDbEntity:AcDbLeader,Continuous,2F0,
